Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2018-09-13,150.0,153.0,148.5,153.0,229
2018-09-14,151.5,154.5,151.5,153.0,366
2018-09-17,154.5,154.5,141.0,154.5,859
2018-09-18,156.0,156.0,151.5,154.5,1731
2018-09-19,159.0,168.0,151.5,151.5,796
2018-09-20,178.5,180.0,159.0,159.0,1201
2018-09-21,177.0,186.0,175.5,180.0,617
2018-09-24,177.0,186.0,171.0,178.5,821
2018-09-25,178.5,183.0,172.5,172.5,403
2018-09-26,180.0,183.0,177.0,181.5,129
2018-09-27,175.5,180.0,175.5,175.5,222
2018-09-28,177.0,180.0,177.0,178.5,133
2018-10-01,175.5,181.5,175.5,181.5,180
2018-10-02,178.5,180.0,174.0,174.0,270
2018-10-03,177.0,180.0,172.5,180.0,429
2018-10-04,174.0,177.0,172.5,177.0,159
2018-10-05,171.0,178.5,171.0,174.0,340
2018-10-08,162.0,175.5,160.5,169.5,515
2018-10-09,166.5,178.5,166.5,166.5,134
2018-10-10,166.5,177.0,166.5,174.0,351
2018-10-11,168.0,175.5,162.0,166.5,277
2018-10-12,174.0,174.0,168.0,168.0,89
2018-10-15,171.0,175.5,163.5,174.0,1146
2018-10-16,172.5,175.5,171.0,171.0,442
2018-10-17,163.5,177.0,163.5,172.5,421
2018-10-18,165.0,169.5,160.5,163.5,1500
2018-10-19,159.0,165.0,157.5,165.0,741
2018-10-22,154.5,163.5,154.5,157.5,275
2018-10-23,154.5,154.5,153.0,154.5,163
2018-10-24,153.0,154.5,150.0,154.5,320
2018-10-25,154.5,165.0,154.5,154.5,259
2018-10-26,154.5,159.0,150.0,154.5,867
2018-10-29,151.5,162.0,151.5,157.5,144
2018-10-30,159.0,159.0,150.0,151.5,251
2018-10-31,156.0,157.5,153.0,154.5,134
2018-11-01,159.0,162.0,156.0,157.5,107
2018-11-02,165.0,178.5,162.0,162.0,562
2018-11-05,168.0,174.0,166.5,172.5,501
2018-11-06,175.5,178.5,172.5,174.0,465
2018-11-07,175.5,177.0,153.0,171.0,355
2018-11-08,178.5,178.5,162.0,172.5,311
2018-11-09,175.5,184.5,175.5,177.0,449
2018-11-12,174.0,180.0,174.0,177.0,37
2018-11-13,178.5,180.0,177.0,177.0,247
2018-11-14,181.5,183.0,178.5,180.0,482
2018-11-15,186.0,186.0,180.0,180.0,245
2018-11-16,177.0,187.5,177.0,184.5,711
2018-11-19,177.0,187.5,172.5,180.0,307
2018-11-20,186.0,186.0,172.5,172.5,59
2018-11-21,184.5,187.5,172.5,180.0,615
2018-11-23,187.5,187.5,178.5,186.0,139
2018-11-26,175.5,187.5,172.5,183.0,344
2018-11-27,220.5,261.0,193.5,244.5,73742
2018-11-28,210.0,243.0,210.0,223.5,10421
2018-11-29,189.0,204.0,168.0,204.0,7399
2018-11-30,189.0,195.0,184.5,187.5,2702
2018-12-03,196.5,204.0,187.5,195.0,1998
2018-12-04,195.0,202.5,187.5,196.5,1349
2018-12-06,196.5,198.0,189.0,190.5,788
2018-12-07,189.0,193.5,183.0,193.5,1535
2018-12-10,187.5,187.5,181.5,187.5,577
2018-12-11,190.5,193.5,184.5,189.0,926
2018-12-12,195.0,199.5,186.0,190.5,698
2018-12-13,192.0,201.0,183.0,192.0,1150
2018-12-14,199.5,202.5,189.0,189.0,680
2018-12-17,198.0,199.5,193.5,195.0,317
2018-12-18,198.0,211.5,190.5,202.5,1153
2018-12-19,195.0,211.5,192.0,198.0,1015
2018-12-20,195.0,201.0,187.5,195.0,577
2018-12-21,198.0,202.5,189.0,195.0,839
2018-12-24,199.5,201.0,192.0,195.0,115
2018-12-26,202.5,208.5,198.0,198.0,704
2018-12-27,205.5,210.0,199.5,199.5,867
2018-12-28,228.0,246.0,204.0,204.0,3454
2018-12-31,249.0,256.5,225.0,229.5,3076
2019-01-02,237.0,256.5,225.0,256.5,1524
2019-01-03,223.5,235.5,211.5,231.0,921
2019-01-04,222.0,226.5,219.0,225.0,757
2019-01-07,226.5,226.5,213.0,219.0,345
2019-01-08,225.0,229.5,220.5,225.0,510
2019-01-09,228.0,228.0,214.5,225.0,257
